"","ID","BEEP_TIME","DAY","INEG","IPOS","RUM","SAV","SHAREN","SHAREP","PP","PPP","GEN","AGE"
"81",157014365,2020-04-15 08:38:00,5,NA,"1","NA","0",NA,"0","1.25","0.94",2,31
"82",394907815,2020-04-14 16:48:00,4,NA,"1","NA","0",NA,"0","1.17","1.05",1,31
"83",923666021,2020-04-11 09:31:00,2,-3,"NA","5","NA",6,"NA","0.52","0.72",1,27
"84",923666021,2020-04-13 15:30:00,3,-3,"NA","4","NA",3,"NA","0.52","0.72",1,27
"85",923666021,2020-04-10 21:54:00,1,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"86",923666021,2020-04-11 16:58:00,2,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"87",923666021,2020-04-10 13:50:00,1,-1,"NA","3","NA",7,"NA","0.52","0.72",1,27
"88",923666021,2020-04-11 18:25:00,2,-1,"NA","5","NA",3,"NA","0.52","0.72",1,27
"89",923666021,2020-04-13 17:22:00,3,-1,"NA","3","NA",1,"NA","0.52","0.72",1,27
"90",923666021,2020-04-13 21:29:00,3,-1,"NA","6","NA",7,"NA","0.52","0.72",1,27
"91",923666021,2020-04-11 19:48:00,2,NA,"1","NA","7",NA,"7","0.52","0.72",1,27
"92",923666021,2020-04-14 13:13:00,4,NA,"1","NA","3",NA,"5","0.52","0.72",1,27
"93",923666021,2020-04-10 16:17:00,1,NA,"2","NA","3",NA,"1","0.52","0.72",1,27
"94",923666021,2020-04-10 16:49:00,1,NA,"2","NA","6",NA,"4","0.52","0.72",1,27
"95",923666021,2020-04-11 11:18:00,2,NA,"2","NA","2",NA,"1","0.52","0.72",1,27
"96",923666021,2020-04-13 09:20:00,3,NA,"2","NA","1",NA,"4","0.52","0.72",1,27
"97",923666021,2020-04-13 13:11:00,3,NA,"2","NA","1",NA,"5","0.52","0.72",1,27
"98",923666021,2020-04-13 19:11:00,3,NA,"2","NA","3",NA,"6","0.52","0.72",1,27
"99",923666021,2020-04-14 08:15:00,4,NA,"2","NA","4",NA,"6","0.52","0.72",1,27
"100",923666021,2020-04-10 19:09:00,1,NA,"3","NA","1",NA,"3","0.52","0.72",1,27
"101",923666021,2020-04-13 12:04:00,3,NA,"3","NA","4",NA,"6","0.52","0.72",1,27
"102",923666021,2020-04-13 19:48:00,3,NA,"3","NA","2",NA,"4","0.52","0.72",1,27
"103",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"104",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"105",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"106",446957952,2020-04-10 13:51:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"107",446957952,2020-04-10 16:49:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
